#modifier
	naval_invasion_plan_cap = 登陆作战计划上限
	fuel_gain_factor_from_states = 从炼油厂获得的燃油
	subversive_activites_upkeep = 颠覆活动代价
	drift_defence_factor = 意识形态抵制力度
	political_power_factor = 政治点数(以百分比形式增加 例0.25 = 25% )
	political_power_gain = 每日政治点增加（0.1=每天加0.1）
	political_power_cost = 每日政治点消耗（同上）
	stability_factor = 稳定度
	stability_weekly = 每周稳定度增长
	defensive_war_stability_factor = 战争防御对稳定度修正
	war_stability_factor = 战争对稳定度惩罚修正
	party_popularity_stability_factor = 党派支持度对稳定度修正
	war_support_factor = 战争支持度
	war_support_weekly = 每周战争支持度增长
	command_power_gain = 每日指挥点增长
	max_command_power = 最大指挥点数提高多少
	command_power_gain_mult = 每日指挥点增长百分比(0.1 = 10%)
	max_command_power_mult = 最大指挥点增长百分比(0.1 = 10%)
	training_time_army_factor = 训练时间
	resistance_target = 抵抗目标(抵抗的力度)
	resistance_target_on_our_occupied_states = 我们被敌人占领地区的抵抗目标(抵抗的力度)
	resistance_decay = 抵抗下降速度
	resistance_decay_on_our_occupied_states = 我们被敌人占领地区的抵抗下降速度
	resistance_growth = 抵抗增长速度
	resistance_growth_on_our_occupied_states = 我们被敌人占领地区的抵抗增长速度
	compliance_growth = 顺从度增长速度
	compliance_growth_on_our_occupied_states = 我们被敌人占领地区的顺从度增长速度
	required_garrison_factor = 驻军需求
	attrition = 损耗 
	army_org_factor = 陆军组织度
	army_morale_factor = 组织度恢复速率
	army_org_regain = 组织度恢复
	supply_consumption_factor = 补给消耗
	no_supply_grace = 随行补给(打小时数)
	supply_node_range = 补给范围
	org_loss_when_moving = 陆军移动组织度损失
	breakthrough_factor = 突破
	recon_factor = 陆军侦查
	land_reinforce_rate = 增援率
	military_leader_cost_factor = -0.50 指挥官招募花费-0.50 = -50%
	army_leader_start_level = 1 新陆军指挥官初始等级+1
	acclimatization_hot_climate_gain_factor = 0.2 炎热适应度增长率+20%
	acclimatization_cold_climate_gain_factor = 0.2 寒冷适应度增长率+20%
	conscription = 适役人口
	conscription_factor = 适役人口修正
	non_core_manpower = 非核心人力
	monthly_population = 月度人力(百分比形式 0.1 =10% )
	weekly_manpower = 每周人力
	mobilization_speed = 动员速度
	industrial_capacity_factory = 工厂产出
	industrial_capacity_dockyard = 船坞产出
	production_factory_max_efficiency_factor = 生产效率上限
	production_factory_efficiency_gain_factor = 生产效率增长
	line_change_production_efficiency_factor = 生产效率保持
	production_factory_start_efficiency_factor = 基础生产效率
	refit_ic_cost = 舰船改造花费
	refit_speed = 舰船改造速度
	repair_speed_factor = 舰船修理速度
	land_night_attack = 夜战
	initiative_factor = 主动性 #需要基础主动性以进行乘算
	coordination_bonus = 协同性
	army_infantry_attack_factor = 步兵攻击
	army_infantry_defence_factor = 步兵防御
	cavalry_attack_factor = 骑兵攻击
	cavalry_defence_factor = 骑兵防御
	motorized_attack_factor = 摩托化步兵攻击
	motorized_defence_factor = 摩托化步兵防御
	mechanized_attack_factor = 机械化攻击
	mechanized_defence_factor = 机械化防御
	army_artillery_attack_factor = 炮兵攻击
	army_artillery_defence_factor = 炮兵防御
	army_armor_attack_factor = 坦克攻击
	army_armor_defence_factor = 坦克防御
	special_forces_attack_factor = 特种部队攻击
	special_forces_defence_factor = 特种部队防御
	special_forces_min = 最低特种容量
	special_forces_cap = 特种上限系数
	modifier_army_sub_unit_magic_assault_attack_factor = 灵装攻击
	modifier_army_sub_unit_magic_assault_defence_factor = 灵装防御
	modifier_army_sub_unit_magic_assault_max_org_factor = 灵装组织度
	modifier_army_sub_unit_magic_artillery_attack_factor = 魔炮攻击
	modifier_army_sub_unit_magic_artillery_defence_factor = 魔炮防御
	modifier_army_sub_unit_magic_artillery_max_org_factor = 魔炮组织度
	modifier_army_sub_unit_mot_magic_artillery_attack_factor = 摩托化魔炮攻击
	modifier_army_sub_unit_mot_magic_artillery_defence_factor = 摩托化魔炮防御
	modifier_army_sub_unit_mot_magic_artillery_max_org_factor = 摩托化魔炮组织度
	modifier_army_sub_unit_category_magic_attack_factor = 所有魔法部队攻击
	modifier_army_sub_unit_category_magic_defence_factor = 所有魔法部队防御
	modifier_army_sub_unit_category_magic_speed_factor = 所有魔法部队速度
	modifier_army_sub_unit_category_magic_max_org_factor = 所有魔法部队组织度
	modifier_army_sub_unit_category_magic_org_recovery_cap_factor = 所有魔法部队组织度恢复
	army_claim_attack_factor = 陆军宣称攻击
	army_claim_defence_factor = 陆军宣称防御
	army_core_attack_factor = 陆军核心攻击
	army_core_defence_factor = 陆军核心防御
	army_non_core_attack_factor = 陆军核心外攻击
	army_non_core_defence_factor = 陆军核心外防御
	army_attack_factor = 陆军攻击
	army_defence_factor = 陆军防御
	army_attack_against_major_factor = 对主要国家攻击
	army_defence_against_major_factor = 对主要国家防御
	army_breakthrough_against_major_factor = 对主要国家突破
	army_attack_against_minor_factor = 对次要国家攻击
	army_defence_against_minor_factor = 对次要国家防御
	army_breakthrough_against_minor_factor = 对次要国家突破
	army_speed_factor = 陆军师速度
	army_attack_speed_factor = 进攻速度
	army_strength_factor = HP
	combat_width_factor = 减宽
	pocket_penalty = 包围惩罚
	org_loss_at_low_org_factor = 组织度低于25%损耗
	army_bonus_air_superiority_factor = 陆军空优
	planning_speed = 计划速度
	max_planning = 计划上限
	planning_decay_rate_factor = 作战准备下降率
	experience_loss_factor = 有经验的士兵损失
	experience_gain_army = 陆军经验每日增长
	experience_gain_army_factor = 陆军经验增长
	experience_gain_navy_factor = 海军经验增长
	experience_gain_air_factor = 空军经验增长
	experience_gain_army_unit_factor
	navy_org = 海军组织度(不是百分比，直接打数字)
	navy_org_factor = 海军组织度(百分比)
	navy_screen_attack_factor = 屏卫舰攻击
	navy_screen_defence_factor = 屏卫舰防御
	navy_capital_ship_attack_factor = 主力舰攻击
	naval_speed_factor = 海军速度
	navy_max_range_factor = 海军最大航程参数
	navy_carrier_air_attack_factor = 0.1 航母舰载机空中攻击+10%
	navy_carrier_air_targetting_factor = 0.05 航母舰载机空中瞄准+5%
	sortie_efficiency = 0.1 出击效率+10%
	screening_efficiency = 0.1 屏卫效率+10%
	naval_retreat_speed = 0.1 撤退时舰队速度+10%
	positioning = 0.10 阵位+10%
	spotting_chance = 0.1 索敌速度+10%
	fuel_consumption_factor = 燃油使用
	navy_fuel_consumption_factor = -0.1 海军燃料消耗-10%
	army_fuel_consumption_factor = -0.1 陆军燃料消耗-10%
	air_fuel_consumption_factor = -0.1 空军燃料消耗-10%
	navy_anti_air_attack_factor = 海军对空攻击
	army_bonus_air_superiority_factor = 空优/制空权
	air_cas_present_factor = 对地支援
	air_accidents = 空军失事机率/空军事故几率
	air_weather_penalty = 空军天气惩罚/恶劣天气惩罚
	air_attack_factor = 对空攻击
	air_ace_generation_chance_factor = 空战王牌生成机率/王牌飞行员产生几率
	air_mission_efficiency = 空军任务效率 
	air_superiority_efficiency = 制空权效率
	air_intercept_efficiency = 空军拦截效率
	air_cas_efficiency = 空中支援任务效率/密接支援任务效率
	air_night_penalty = 夜间惩罚/夜间行动惩罚
	air_range_factor = 空军航程
	air_agility_factor = 空军机动性能（闪避）
	air_escort_efficiency = 护航效率
	air_strategic_bomber_bombing_factor = 战略轰炸
	invasion_preparation = 登陆准备时间
	amphibious_invasion = 两栖登陆速度
	ai_focus_aggressive_factor = ai修正:专注进攻的值
	ai_focus_defense_factor = ai修正：专注防御的值
	ai_call_ally_desire_factor = ai修正：请求盟友加入战争的意愿
	ai_join_ally_desire_factor = ai修正：参战意愿
	ai_get_ally_desire_factor = ai修正：加入或扩大一个阵营的意愿
	ai_focus_naval_factor = ai修正：专注海军的值
	ai_focus_naval_air_factor = ai修正：专注海军航空的值
	ai_focus_aviation_factor = ai修正：专注空军的值
	air_mission_xp_gain_factor = 空军联队任务经验增长
	air_maximum_speed_factor = 空军最大速度
	air_superiority_bonus_in_combat = 战斗中空优加成
	military_industrial_organization_funds_gain = 军工机构经费获取
	load_focus_tree = {  ##载入新国策树
		tree = british_focus
		keep_completed = yes
		copy_completed_from = ENG
	}
	
#添加规则设定（直接打不用加在modifier下面）
	rule = { 规则种类（可打多个） = yes 或 no }
	
#针对某种武器的加成(直接打不用加在modifier下面)
	equipment_bonus = {
		装备种类 = {
			
			instant = yes
		}
	}
	has_navy_size = {
		unit = battleship
		unit = battle_cruiser
		unit = carrier
		unit = destroyer
		unit = heavy_cruiser
		
		type = submarine
		type = screen_ship
		type = capital_ship

		size > 9
	}
	
	
	submarine
    screen_ship
    capital_ship
    carrier
	#武器代码	
		small_plane_airframe = 轻型战斗机
		small_plane_cas_airframe = 俯冲轰炸机
		small_plane_naval_bomber_airframe = 海军轰炸机
		
		medium_plane_airframe = 战术轰炸机
		medium_plane_fighter_airframe = 重型战斗机
		medium_plane_scout_plane_airframe = 中型海上巡逻机
		
		large_plane_airframe = 战略轰炸机
		large_plane_maritime_patrol_plane_airframe = 大型海上巡逻机
		
		cv_small_plane_airframe = 舰载战斗机
		cv_small_plane_cas_airframe = 舰载俯冲轰炸机
		cv_small_plane_naval_bomber_airframe = 舰载海军轰炸机

		#旧代码作废
		# fighter_equipment = 战斗机
		# cv_fighter_equipment = 舰载战斗机
		# strat_bomber_equipment = 战略轰炸机
		# tac_bomber_equipment = 战术轰炸机
		# nav_bomber_equipment = 海军轰炸机
		# CAS_equipment = 近距离支援机
		# cv_CAS_equipment = 舰载近距离支援机	
	#加成代码
		air_bombing = 战略轰炸
		air_range = 作战半径
		reliability = 可靠性
		air_ground_attack = 空军对地攻击
		naval_strike_attack = 空军对海攻击
		
		lg_attack = 海军轻火炮
		hg_attack = 海军重火炮
		armor_value = 装甲厚度
		maximum_speed = 最大速度
		naval_range = 海军航程
		carrier_size = 机库容量
		
		defense = 防御
		breakthrough = 突破
		hardness = 装甲率
		soft_attack = 对人员杀伤
		hard_attack = 对装甲杀伤
		ap_attack = 穿甲深度
		air_attack = 对空攻击

		initiative = 主动性
		entrenchment = 堑壕
		max_strength = HP
		default_morale = 恢复速度
		build_cost_ic
				
#对某国战斗修正(直接打不用加在modifier下面)
	targeted_modifier = {
		tag = 对哪个国家的战斗修正
		#战斗修正种类
		attack_bonus_against = 攻击修正
		defense_bonus_against = 防御修正
		trade_cost_for_target_factor = 0.5 #贸易修正
		breakthrough_bonus_against = 突破修正
		cic_to_target_factor = 民工
		mic_to_target_factor = 军工
	}
	
	
#建造花费代码(直接打不用加在modifier下面)  造价
	equipment_bonus = {
		装备种类 = {
			build_cost_ic = 建造花费
			instant = yes
		}
	}
	#装备种类
		infantry_equipment = 步兵武器(步枪)
		support_equipment = 支援装备
		artillery_equipment = 火炮
		light_tank_equipment = 轻型坦克
		medium_tank_equipment = 中型坦克
		heavy_tank_equipment = 重型坦克
		super_heavy_tank_equipment = 超重坦克
		modern_tank_equipment = 现代坦克
		category_all_armor = 装甲变种（无用）
		armor = 装甲
		motorized_equipment = 摩托化装备
		mechanized_equipment = 机械化装备
		fighter_equipment = 战斗机
		CAS_equipment = 近距支援机

	#加成类型
		build_cost_ic = <float> #建造花费
		reliability = <float> #可靠性
		maximum_speed = <float> #最大速度
		defense = <float> #防御
		breakthrough = <float> #突破
		hardness = <float> #装甲率
		armor_value = <float> #装甲厚度
		soft_attack = <float> #软攻
		hard_attack = <float> #硬功
		ap_attack = <float> #穿甲深度
		air_attack = <float> #对空攻击
